index,referencia,titulo_anuncio,estado_casa,departamento,ubicacion,nro_habitaciones,nro_baño,m2_terreno,nro_plantas,m2_edificados,nro_garajes,precio_venta,antiguedad
0,E457CA,En venta casa de Lujo en Las Palmas,Excelente estado,Santa Cruz,Las Palmas_ Las palmas_ Santa Cruz,4.0,3,600.0,1.0,650.0,2.0,850000.0,
1,Q67923,CASA EN VENTA EN LAS PALMAS,Excelente estado,Santa Cruz,ENTRE 3ER Y 4TO ANILLO C/ BAHIA CACERES Y CAPARUS _ Las palmas_ Santa Cruz,4.0,3,726.0,1.0,,2.0,685000.0,
2,WC49A9,"CASA EN VENTA, IRPAVI",Buen estado,La Paz,CALLE 18 Y OVANDO_ Irpavi_ La Paz,3.0,3,643.0,1.0,643.0,3.0,449000.0,
3,Z7FD7E,Casa en venta sobre Av. Canal Isuto,Excelente estado,Santa Cruz,sobre Av. Canal Isuto entre 4to y 5to anillo_ Norte_ Santa Cruz,5.0,2,194.0,1.0,194.0,,139000.0,
4,OF956B,"casa a estrenar, 4 dormitorios, Condominio Los Parques 3, Urubo",A estrenar,Santa Cruz,condominio Los parques 3_ Urubó_ Santa Cruz,4.0,3,158.0,2.0,158.0,1.0,149000.0,
5,EC6E32,CASA EN VENTA EN EL BARRIO URBARI,Excelente estado,Santa Cruz,2DO ANILLO ENTRE C/ BARASEA Y ARUMA_ Urbari_ Santa Cruz,4.0,3,586.0,1.0,383.0,2.0,405000.0,
6,NF40A2,ESPECTACULAR CASA EN EL URUBÓ.!!,Excelente estado,Santa Cruz,Buen Retiro_ Urubó_ Santa Cruz,4.0,3,25000.0,1.0,824.0,3.0,1750000.0,7.0
7,M5D615,EN VENTA CASA CONDOMINIO BARCELO,Excelente estado,Santa Cruz,Av. Banzer Km 9_ Remanso_ Santa Cruz,5.0,3,422.0,2.0,303.0,2.0,210000.0,
8,ZE1EF5,PRECIOSOS TOWNHOUSE DE LUJO EN VENTA CONDOMINIO “JARDINES DEL NORTE VI”,A estrenar,Santa Cruz,Av. Banzer y 8vo. Anillo._ Remanso_ Santa Cruz,3.0,3,210.0,1.0,210.0,2.0,206000.0,
9,M178A7,CASA EN VENTA ZONA NORTE,Excelente estado,Santa Cruz,Av. Cristo Redentor_ Cond. Sevilla Norte II_ Norte_ Santa Cruz,3.0,3,304.0,1.0,116.0,1.0,99000.0,14.0
10,J6CCCF,CASAS PRE VENTA ZONA NORTE,En construcción,Santa Cruz,AV ALEMANA 9° ANILLO_ Norte_ Santa Cruz,3.0,3,255.0,2.0,225.0,2.0,156500.0,1.0
11,ZA4673,EN VENTA A ESTRENAR HERMOSA CASA con PISCINA Condominio Ciudad Jardín,A estrenar,Santa Cruz,6to anillo_ Norte_ Santa Cruz,3.0,3,414.0,2.0,350.0,2.0,370000.0,1.0
12,M8FDB1,Casa en Venta Barrio Las Palmas,Excelente estado,Santa Cruz,Barrio Las Palmas_ Oeste_ Santa Cruz,3.0,3,296.0,2.0,165.0,2.0,265000.0,13.0
13,LEDD47,Casa en condominio Almería Sumuqué. Av. Banzer Km 8,Excelente estado,Santa Cruz,Avenida Banzer Km 8_ Norte_ Santa Cruz,3.0,3,635.0,2.0,431.0,3.0,750000.0,4.0
14,LBE85C,Casa de lujo en venta Totalmente amoblada. Condominio El Paraíso,Excelente estado,Santa Cruz,Colinas Urubo El Paraiso_ Urubó_ Santa Cruz,5.0,3,2085.0,2.0,850.0,3.0,1200000.0,3.0
15,C9C3F9,CASA DE LUJO EN VENTA ZONA SAGUAPAC SEGUNDO ANILLO,Excelente estado,Santa Cruz,2do anillo Barrio Braniff_ Sur_ Santa Cruz,5.0,3,1054.0,1.0,560.0,3.0,450000.0,6.0
16,Z81AC9,CASA EN VENTA Y/O ALQUILER PARA EMPRESA,Excelente estado,Santa Cruz,AV. SANTA CRUZ (2do. ANILLO) Y AV. BRASIL_ Este_ Santa Cruz,3.0,3,720.0,1.0,567.0,3.0,600000.0,11.0
17,XAAE36,CASA DE LUJO EN VENTA BARRIO URBARI,Excelente estado,Santa Cruz,Calle Aruma_ Urbari_ Santa Cruz,3.0,3,557.0,2.0,327.0,3.0,400000.0,5.0
18,A38C94,En venta casa en el Condominio Ciudad Jardín,Excelente estado,Santa Cruz,Av. Banzer 6to anillo_ Norte_ Santa Cruz,3.0,3,417.0,1.0,220.0,2.0,249000.0,
19,V44B14,Casa en venta en Remanso,Excelente estado,Santa Cruz,Zona Remanso _ Remanso_ Santa Cruz,3.0,3,393.0,1.0,143.0,2.0,168000.0,
20,F5A9ED,CASA EN VENTA - Zona Doble Vía La Guardia,Sin Definir,Santa Cruz,Av. Perimetral - Barrio Los Bosques _ Doble via la guardia_ Santa Cruz,2.0,1,746.0,1.0,271.0,3.0,265000.0,23.0
21,V1E5F3,Casa en venta en Condominio la casona,Excelente estado,Santa Cruz,Av. virgen de cotoca _ Este_ Santa Cruz,3.0,3,208.0,1.0,489.0,1.0,120000.0,
22,P780DD,CASA EN VENTA VALLE SANCHEZ,Excelente estado,Santa Cruz,Valle Sanchez_ Norte_ Santa Cruz,3.0,2,275.0,1.0,100.0,,55000.0,
