referencia;titulo_anuncio;estado_casa;ubicacion;año_construccion;nro_habitaciones;nro_baño;m2_terreno;nro_plantas;m2_edificados;nro_garajes;precio_venta
E457CA;En venta casa de Lujo en Las Palmas;Excelente estado;Las Palmas, Las palmas, Santa Cruz;¡Preguntale!;4;3;600 m2;1;650 m2;2;U$S 850.000
Q67923;CASA EN VENTA EN LAS PALMAS;Excelente estado;ENTRE 3ER Y 4TO ANILLO C/ BAHIA CACERES Y CAPARUS , Las palmas, Santa Cruz;¡Preguntale!;4;3;726 m2;1;¡Preguntale!;2;U$S 685.000
WC49A9;CASA EN VENTA, IRPAVI;Buen estado;CALLE 18 Y OVANDO, Irpavi, La Paz;¡Preguntale!;3;3;643 m2;1;643 m2;3;U$S 449.000
Z7FD7E;Casa en venta sobre Av. Canal Isuto;Excelente estado;sobre Av. Canal Isuto entre 4to y 5to anillo, Norte, Santa Cruz;¡Preguntale!;5;2;194 m2;1;194 m2;¡Preguntale!;U$S 139.000
OF956B;casa a estrenar, 4 dormitorios, Condominio Los Parques 3, Urubo;A estrenar;condominio Los parques 3, Urubó, Santa Cruz;¡Preguntale!;4;3;158 m2;2;158 m2;1;U$S 149.000
EC6E32;CASA EN VENTA EN EL BARRIO URBARI;Excelente estado;2DO ANILLO ENTRE C/ BARASEA Y ARUMA, Urbari, Santa Cruz;¡Preguntale!;4;3;586 m2;1;383 m2;2;U$S 405.000
NF40A2;ESPECTACULAR CASA EN EL URUBÓ.!!;Excelente estado;Buen Retiro, Urubó, Santa Cruz;2016;4;3;25.000 m2;1;824 m2;3;U$S 1.750.000
M5D615;EN VENTA CASA CONDOMINIO BARCELO;Excelente estado;Av. Banzer Km 9, Remanso, Santa Cruz;¡Preguntale!;5;3;422 m2;2;303 m2;2;U$S 210.000
ZE1EF5;PRECIOSOS TOWNHOUSE DE LUJO EN VENTA CONDOMINIO “JARDINES DEL NORTE VI”;A estrenar;Av. Banzer y 8vo. Anillo., Remanso, Santa Cruz;¡Preguntale!;3;3;210 m2;1;210 m2;2;U$S 206.000
M178A7;CASA EN VENTA ZONA NORTE;Excelente estado;Av. Cristo Redentor, Cond. Sevilla Norte II, Norte, Santa Cruz;2009;3;3;304 m2;1;116 m2;1;U$S 99.000
J6CCCF;CASAS PRE VENTA ZONA NORTE;En construcción;AV ALEMANA 9° ANILLO, Norte, Santa Cruz;2022;3;3;255 m2;2;225 m2;2;U$S 156.500
